Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.0311,-2.5557,2.3905,0,0,0,110.87,38.184,-2.8868E-16,2.8377E-14,76.565,-3.8292E-15,38.525,0,0,0,0,0,0,package://gate_system/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gate_system/meshes/base_link.STL,,Gates-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotating_link,0,0.27188,0.062404,0,0,0,1.2463,0.037259,2.1212E-19,8.3317E-20,0.0024207,-0.0078999,0.035026,0,0,0,0,0,0,package://gate_system/meshes/rotating_link.STL,1,0.16863,0.16863,1,0,0,0,0,0,0,package://gate_system/meshes/rotating_link.STL,,rotatingPart-1,Coordinate System1,Axis1,rotating_joint,revolute,1.0311,-2.4707,2.523,1.5708,0,1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
